tensor(26.3937, device='cuda:0')
tensor(29.8956, device='cuda:0')
tensor(33.8496, device='cuda:0')
tensor(33.8034, device='cuda:0')
tensor(33.7909, device='cuda:0')
tensor(34.0761, device='cuda:0')
tensor(34.4269, device='cuda:0')
tensor(34.3566, device='cuda:0')
tensor(34.3220, device='cuda:0')
tensor(34.3498, device='cuda:0')
tensor(34.3779, device='cuda:0')
tensor(34.3669, device='cuda:0')
tensor(34.5118, device='cuda:0')
tensor(35.1044, device='cuda:0')
tensor(35.1046, device='cuda:0')
tensor(35.0377, device='cuda:0')
tensor(35.1803, device='cuda:0')
tensor(35.1469, device='cuda:0')
tensor(35.1550, device='cuda:0')
tensor(35.1414, device='cuda:0')
tensor(35.1162, device='cuda:0')
tensor(35.1461, device='cuda:0')
tensor(35.1794, device='cuda:0')
tensor(35.2417, device='cuda:0')
tensor(35.2676, device='cuda:0')
tensor(35.2912, device='cuda:0')
tensor(35.3052, device='cuda:0')
tensor(35.3415, device='cuda:0')
tensor(35.4295, device='cuda:0')
tensor(36.1401, device='cuda:0')
tensor(36.1300, device='cuda:0')
tensor(36.2159, device='cuda:0')
tensor(36.1637, device='cuda:0')
tensor(36.1290, device='cuda:0')
tensor(36.1681, device='cuda:0')
tensor(36.3477, device='cuda:0')
tensor(36.3379, device='cuda:0')
tensor(36.3223, device='cuda:0')
tensor(36.3143, device='cuda:0')
tensor(36.3322, device='cuda:0')
tensor(36.2749, device='cuda:0')
tensor(36.2995, device='cuda:0')
tensor(36.3125, device='cuda:0')
tensor(36.3404, device='cuda:0')
tensor(37.0863, device='cuda:0')
tensor(37.8057, device='cuda:0')
tensor(37.6918, device='cuda:0')
tensor(37.7161, device='cuda:0')
tensor(37.7513, device='cuda:0')
tensor(37.7583, device='cuda:0')
tensor(37.8213, device='cuda:0')
tensor(37.7885, device='cuda:0')
tensor(40.0152, device='cuda:0')
tensor(39.9375, device='cuda:0')
tensor(39.8426, device='cuda:0')
tensor(39.8718, device='cuda:0')
tensor(39.8639, device='cuda:0')
tensor(39.9440, device='cuda:0')
tensor(40.0668, device='cuda:0')
tensor(39.8980, device='cuda:0')
tensor(45.1575, device='cuda:0')
tensor(39.9114, device='cuda:0')
tensor(39.9311, device='cuda:0')
tensor(39.9201, device='cuda:0')
tensor(39.9799, device='cuda:0')
tensor(40.0990, device='cuda:0')
tensor(39.9866, device='cuda:0')
tensor(39.9366, device='cuda:0')
tensor(42.2084, device='cuda:0')
tensor(39.9139, device='cuda:0')
tensor(39.8653, device='cuda:0')
tensor(39.9964, device='cuda:0')
tensor(40.0035, device='cuda:0')
tensor(39.9884, device='cuda:0')
tensor(40.1790, device='cuda:0')
tensor(40.0292, device='cuda:0')
tensor(40.5584, device='cuda:0')
tensor(39.8999, device='cuda:0')
tensor(39.9210, device='cuda:0')
tensor(39.9002, device='cuda:0')
tensor(39.9258, device='cuda:0')
tensor(39.9150, device='cuda:0')
tensor(39.9287, device='cuda:0')
tensor(40.0110, device='cuda:0')
tensor(39.9689, device='cuda:0')
tensor(39.9606, device='cuda:0')
tensor(40.0725, device='cuda:0')
tensor(40.1107, device='cuda:0')
tensor(39.9725, device='cuda:0')
tensor(39.9711, device='cuda:0')
tensor(39.9802, device='cuda:0')
tensor(41.4890, device='cuda:0')
tensor(40.0146, device='cuda:0')
tensor(39.8857, device='cuda:0')
tensor(40.0359, device='cuda:0')
tensor(40.0580, device='cuda:0')
tensor(40.0145, device='cuda:0')
tensor(40.0157, device='cuda:0')
tensor(40.0463, device='cuda:0')
tensor(40.0809, device='cuda:0')
tensor(39.9936, device='cuda:0')
tensor(40.1124, device='cuda:0')
tensor(40.0459, device='cuda:0')
tensor(39.9587, device='cuda:0')
tensor(40.0401, device='cuda:0')
tensor(40.0995, device='cuda:0')
